pair_id,conflict_type,image_severity_signal,text_severity_signal,conflict_direction,source
real:911712278516551681_0,severity_mismatch,severe,none,image>text,real
real:911712278516551681_3,severity_mismatch,severe,none,image>text,real
real:911938986297499648_0,severity_mismatch,severe,none,image>text,real
real:911965850198036480_0,severity_mismatch,severe,none,image>text,real
real:912077714227593216_0,severity_mismatch,mild,none,image>text,real
real:912077714227593216_2,severity_mismatch,severe,none,image>text,real
real:912092784408002560_0,severity_mismatch,severe,none,image>text,real
real:912093260880936961_1,severity_mismatch,severe,none,image>text,real
real:912337650278916097_0,severity_mismatch,severe,none,image>text,real
real:912357558484058112_0,severity_mismatch,severe,none,image>text,real
real:912420533689610242_0,severity_mismatch,mild,none,image>text,real
real:912982510518247424_0,severity_mismatch,severe,none,image>text,real
real:913002540119330816_0,severity_mismatch,severe,none,image>text,real
real:913087531750711297_0,severity_mismatch,mild,moderate,text>image,real
real:913129126881570816_1,severity_mismatch,mild,severe,text>image,real
real:913170149255106561_0,severity_mismatch,mild,severe,text>image,real
real:913172197660876800_0,severity_mismatch,mild,moderate,text>image,real
real:913236041397669888_0,severity_mismatch,mild,none,image>text,real
real:914262901350961153_0,severity_mismatch,mild,none,image>text,real
real:914271884253986817_0,severity_mismatch,mild,none,image>text,real
real:914663754117386240_0,severity_mismatch,mild,moderate,text>image,real
real:916178330319314944_0,severity_mismatch,severe,none,image>text,real
real:917793137925459968_1,severity_mismatch,severe,none,image>text,real
real:917811151320338433_0,severity_mismatch,severe,none,image>text,real
real:917837517562445824_0,severity_mismatch,severe,none,image>text,real
real:917944458523566080_0,severity_mismatch,severe,none,image>text,real
real:918235098591514626_0,severity_mismatch,severe,none,image>text,real
real:918237370536906753_0,severity_mismatch,none,severe,text>image,real
real:918243601062141952_0,severity_mismatch,severe,none,image>text,real
real:918358890302947328_0,severity_mismatch,severe,moderate,image>text,real
real:919673242130010113_0,severity_mismatch,severe,none,image>text,real
real:919836010292416512_0,severity_mismatch,severe,none,image>text,real
real:920005307148804096_0,severity_mismatch,severe,none,image>text,real
real:920069864487710721_0,severity_mismatch,severe,none,image>text,real
real:920228049408360448_0,severity_mismatch,severe,none,image>text,real
real:920236266335162368_0,severity_mismatch,severe,moderate,image>text,real
real:920379677587390465_0,severity_mismatch,severe,none,image>text,real
real:921020713619853312_0,severity_mismatch,severe,none,image>text,real
real:921372419503415296_0,severity_mismatch,severe,none,image>text,real
real:921422248338214913_0,severity_mismatch,severe,none,image>text,real
real:922228467613171713_0,severity_mismatch,severe,none,image>text,real
real:923035424838254592_0,severity_mismatch,severe,none,image>text,real
real:927758858776465408_0,severity_mismatch,severe,none,image>text,real
real:927998178636587008_0,severity_mismatch,severe,none,image>text,real
real:928498940286324736_0,severity_mismatch,mild,none,image>text,real
real:929359950542983169_0,severity_mismatch,severe,none,image>text,real
real:929999388713332737_0,severity_mismatch,mild,moderate,text>image,real
real:930347490263666688_1,severity_mismatch,mild,moderate,text>image,real
real:930631448167632896_0,severity_mismatch,severe,none,image>text,real
real:931366109583958016_0,severity_mismatch,severe,none,image>text,real
